id,bid,text,头条文章url,原始图片url,视频url,位置,日期,工具,likes,评论数,转发数,tag,@用户,完整日期
5048144574285026,OkcsxhYJk,华山 绝美 云海 武侠 感拉满 近日 陕西 渭南 雨后 华山 刚柔并济 云海 蒸腾 波涛汹涌 云雾 群峰 翻滚 网友 华山 云海 好像 人间仙境 陕视 新闻 微博 视频,,,"https://f.video.weibocdn.com/o0/p1K4zxgClx08fPCCba6A01041200N8Te0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059437&ssig=m%2BBAhbspWL&KID=unistore,video",,2024-06-22T19:15:19,微博视频号,267,154,58,"华山绝美云海武侠感拉满,华山云海好像人间仙境",,2024-06-22 19:15:19
5048139180672619,OkcjQ2OYH,动容 毕业生 送上 束脩 之礼 感谢 师恩 近日 山东 淄博 中考 结束 一名 女生 班主任 送上 束脩 之礼 感谢 师恩 班主任 感动不已 难掩 泪水 说 老师 荣耀 学生 认可 网友 双向 奔赴 师生 情让 感动 人民日报 微博 视频,,,"https://f.video.weibocdn.com/o0/jNNDGVpVlx08fR3aNUIo01041200lKL50E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059425&ssig=f0YB%2FjQr7i&KID=unistore,video",,2024-06-22T18:53:53,微博视频号,607,165,51,"毕业生送上束脩之礼感谢师恩,这样双向奔赴的师生情让人感动",,2024-06-22 18:53:53
5048133010589349,Okc9T2tjD,好萌 荒漠 猫 亲子 时光 近日 摄影师 青海省 海晏县 拍摄 国家一级 重点保护 野生动物 荒漠 猫 画面 视频 一只 雌性 荒漠 猫 三个 幼崽 休闲 玩耍 三只 小家伙 活泼 好动 可爱 荒漠 猫 青藏高原 东部 生性 机警 善于 捕猎 特有 猫科动物 贾丰丰 边建忠 人民日报 微博 视频,,,"https://f.video.weibocdn.com/o0/zM0fwHkzlx08fR1uRdmM01041201hnpu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1719059419&ssig=rXrL5rC%2Fik&KID=unistore,video",,2024-06-22T18:29:22,微博视频号,847,281,133,荒漠猫的亲子时光,,2024-06-22 18:29:22
5048125629137927,OkbXYClbV,辛苦 广西 柳州 武警官兵 连夜 奋战 清淤 近日 广西 柳州 洪水 渐退 淤泥 覆盖 垃圾 堆积 当晚 武警 广西 总队 柳州 支队 出动 300 余名 官兵 展开 清淤 21 日 时 武警官兵 疏通 清理 道路 3.7 公里 转移 物资 约 1200 余件 清理 淤泥 2.5 万立方米 居民 生产 生活 恢复正常 央广 军事,,"https://wx3.sinaimg.cn/large/0033ImPzly1hqyab0gljvj60j60cqq6j02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1hqyab0tyyrj60j60cqae002.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1hqyab0gn17j60j60cqtcv02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1hqyab0g7w2j60j60cqgp602.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1hqyab0gmq3j60j60cq78702.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1hqyab0g6cxj60j60cqwi602.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1hqyab0gnr7j60j60cqjvd02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1hqyab0ft8xj60j60csmzw02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1hqyab0go02j60j60cqae002.jpg",,,2024-06-22T18:00:02,微博网页版,1246,325,179,广西柳州武警官兵连夜奋战清淤,,2024-06-22 18:00:02
5048116426050583,OkbJ8po23,2024 考生 考查 分前 必看 批次 录取 分数线 高考 专业 提前 批 录取 参加 批次 录取 解析 填报 热点 解答 高考 志愿 填报 60 必看 问答 转需 专业 报考 指南 2024 考生 查分 前必,,,,,2024-06-22T17:23:28,微博 weibo.com,737,191,252,"高考查分前必看,高考志愿填报60个必看问答,专业报考指南",,2024-06-22 17:23:28
5048101494067788,Okbl3h4du,同学 愿 一路 繁花 前程似锦 高校 毕业 季设 巨型 花束 打卡 点 毕业 季 内蒙古 工业 大学 校园 设置 一束 巨型 花束 供 毕业 学子 拍照 打卡 祝福 毕业 学生 一路 繁花 前程似锦 网友 羡慕 内蒙古 广播 电视台 微博 视频,,,"https://f.video.weibocdn.com/o0/Sm003t5Klx08fQJTG6BW01041200g4cy0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059453&ssig=8tJVI76r05&KID=unistore,video",,2024-06-22T16:24:08,微博视频号,1954,479,208,高校毕业季设巨型花束打卡点,,2024-06-22 16:24:08
5048093795948053,Okb8DoXml,云南 元江 蝴蝶 爆发 梦幻 如加 特效 月 月 云南省 元江县 迎来 蝴蝶 爆发 期 数不清 蝴蝶 阳光 翩翩起舞 一幅 美丽 画卷 蝴蝶 爆发 漫天 飞舞 壮观 杨 松阳 李方芳 靳浩 人民日报 微博 视频,,,"https://f.video.weibocdn.com/o0/gSne7SgGlx08fQQMJaKA01041200IItz0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059445&ssig=zWL2Q7cFW7&KID=unistore,video",,2024-06-22T15:53:33,微博视频号,1146,399,250,"蝴蝶大爆发梦幻如加特效,蝴蝶爆发漫天飞舞有多壮观",,2024-06-22 15:53:33
5048082075747136,OkaPJo75K,祝贺 发射 天文 卫星 搭载 天文 卫星 长征二号 丙 运载火箭 月 22 日 西昌卫星发射中心 发射 升空 卫星 中法 两国 联合 空间科学 卫星 迄今为止 全球 伽马 暴 波段 观测 最强 卫星 伽马 暴 天文 科学 发挥 张未 王豪 喻 思南 陈昊杰,,"https://wx1.sinaimg.cn/large/0033ImPzly1hqy616uoa3j64mo3344qt02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1hqy6154rklj60zk0npagl02.jpg",,,2024-06-22T15:06:58,微博网页版,1326,465,188,我国发射中法天文卫星,,2024-06-22 15:06:58
5048073896334300,OkaCxqzQ8,高校 离世 渐冻症 学生 名字 设立 自强不息 奖 近日 西南政法大学 毕业典礼 校长 林维 纪念 2023 不幸 离世 渐冻症 学生 邓显松 热爱生活 追求 卓越 精神 学校 设立 显松 自强不息 奖 邓显松 岁 时 患上 进行性 肌 营养不良 症 大脑 脑干 脊髓 运动 神经细胞 侵袭 肌肉 萎缩 无力 全身 瘫痪 身体 冻住 俗称 渐冻 身体 困住 从没 放弃 并于 2021 592 分 成绩 考入 西南政法大学 患 渐冻症 学生 离世 校长 毕业典礼 上游 新闻 微博 视频,,,"https://f.video.weibocdn.com/u0/HjKbhicdgx08fPd5gp2E01041200fri10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059450&ssig=Lygj3HCaw0&KID=unistore,video",,2024-06-22T14:34:28,微博视频号,1164,225,119,高校用离世渐冻症学生名字设立自强不息奖,,2024-06-22 14:34:28
5048064287443233,Okan2vek9,台下 十年 功 戏曲 演员 跳 凳子 实力 演绎 身轻如燕 近日 陕西 汉中 汉调 桄 桄 演员 王乙妃 跳 凳子 登台 演出 视频 台上 一分钟 台下 十年 功 动作 跳 至少 光跳 凳子 跳 小时 戏曲 演员 跳 凳子 如会 轻功 提醒 随意 模仿 中国青年报 人民日报 微博 视频,,,"https://f.video.weibocdn.com/o0/SghVB8Telx08fQIKiEv6010412007VxA0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1719059442&ssig=8JrKb0pQAr&KID=unistore,video",,2024-06-22T13:56:17,微博视频号,3045,484,314,"戏曲演员跳凳子实力演绎身轻如燕,戏曲演员跳凳子如会轻功",,2024-06-22 13:56:17
